,voltage,current,duty
135,29411.0,1833.0,562
136,30105.0,1806.0,535
137,30661.0,1772.0,555
138,30647.0,1764.0,552
139,30375.0,1782.0,550
140,28649.0,1863.0,566
141,31107.0,1720.0,542
142,30816.0,1739.0,541
143,29571.0,1831.0,555
144,31724.0,1538.0,536
145,30939.0,1746.0,534
146,29295.0,1837.0,552
147,29992.0,1809.0,562
148,30040.0,1811.0,566
149,30528.0,1776.0,534
150,29104.0,1846.0,544
151,29506.0,1829.0,555
152,28396.0,1863.0,578
153,29828.0,1823.0,550
154,30655.0,1755.0,555
155,30306.0,1785.0,538
156,29151.0,1853.0,561
157,29203.0,1851.0,558
158,30161.0,1798.0,542
159,31277.0,1675.0,544
160,29561.0,1835.0,535
161,29460.0,1842.0,557
162,29676.0,1823.0,554
163,30094.0,1801.0,561
164,29985.0,1818.0,535
165,30053.0,1812.0,566
166,30751.0,1742.0,553
167,29983.0,1808.0,540
168,29623.0,1834.0,574
169,30638.0,1964.0,516
170,29815.0,1997.0,555
171,30754.0,1942.0,537
172,30304.0,1981.0,531
173,29824.0,2006.0,571
174,31272.0,1899.0,545
175,30686.0,1949.0,531
176,29717.0,2005.0,551
177,31676.0,1833.0,538
178,30646.0,1953.0,533
179,30689.0,1946.0,535
180,29610.0,2014.0,553
181,31726.0,1819.0,537
182,30992.0,1937.0,529
183,28923.0,2025.0,553
184,29980.0,1997.0,551
185,30068.0,1980.0,553
186,29930.0,2003.0,549
187,29716.0,2003.0,553
188,30188.0,1983.0,544
189,31099.0,1921.0,548
190,31213.0,1923.0,506
191,30014.0,1987.0,527
192,31234.0,2025.0,546
193,31238.0,2034.0,506
194,29998.0,2105.0,534
195,31010.0,2042.0,536
196,31351.0,2013.0,526
197,30227.0,2100.0,564
198,31305.0,2029.0,526
199,30113.0,2092.0,540
200,30723.0,2069.0,540
201,31251.0,2035.0,506
202,30065.0,2110.0,567
203,31421.0,2003.0,543
204,30231.0,2093.0,529
205,30135.0,2109.0,559
206,31299.0,2023.0,532
207,30069.0,2098.0,544
208,30328.0,2085.0,546
209,31014.0,2056.0,520
210,29898.0,2113.0,537
211,31353.0,2010.0,544
212,30323.0,2086.0,529
213,30335.0,2092.0,522
214,30220.0,2100.0,541
215,30826.0,2052.0,532
216,29790.0,2111.0,545
217,31115.0,2042.0,548
218,31719.0,1977.0,530
219,31424.0,2003.0,530
220,29005.0,2135.0,552
221,30179.0,2102.0,546
222,32464.0,1737.0,525
223,30275.0,2087.0,548
224,30842.0,2062.0,550
225,30611.0,2081.0,517
226,30004.0,2112.0,568
227,31415.0,2003.0,543
228,29007.0,2136.0,553
229,30390.0,2093.0,546
230,32117.0,1873.0,531
231,31058.0,2022.0,529
232,31365.0,2025.0,524
233,30062.0,2105.0,547
234,30008.0,2100.0,548
235,31064.0,2051.0,529
236,29998.0,2103.0,548
237,30665.0,2066.0,550
238,30998.0,2048.0,550
239,30172.0,2105.0,525
240,30178.0,2099.0,533
241,30834.0,2240.0,554
242,31415.0,2211.0,504
243,30610.0,2265.0,518
244,31716.0,2187.0,539
